concept,source language text,target language text,variations,label
use,I used to hear them wailing in my sleep.,मैं उन्हें अपनी नींद में रोना सुनने के लिए इस्तेमाल किया।,"['इस्तेमाल', 'प्रयोग', 'उपयोग']",इस्तेमाल
use,Used in yesteryear hero Jaishankar's days,पुराने नायक जयशंकर के दिनों में इस्तेमाल किया,"['इस्तेमाल', 'प्रयोग', 'उपयोग']",इस्तेमाल
use,And what you could use it for is just limited by your imagination.,"और आप इस का क्या उपयोग करें, ये आपकी रचनात्मकता पर है।","['इस्तेमाल', 'प्रयोग', 'उपयोग']",उपयोग
use,"I said, ""Dude, you have to use the code!""","मैंने कहा, ""यार, आपको कोड का उपयोग करना होगा!""","['इस्तेमाल', 'प्रयोग', 'उपयोग']",उपयोग
way,"This is not mine, by the way.",यह मेरा तरीका नहीं है.,"['रास्ता', 'तरीका/तरफ']",तरीका/तरफ
way,"On the way back to the ministry in the car, she turned around to me and said, ""Rose, you've always been interested in finance.","जब हम गाड़ी में मंत्रालय लौट रहे थे, तब वे मेरी तरफ मुड़कर कहीं, ""रोस, पूंजी के मामलों में हमेशा तुम्हें दिलचस्पी रही है.","['रास्ता', 'तरीका/तरफ']",तरीका/तरफ
way,So the only way I could actually create a panoramic was to shoot a collage of 250 single images.,"तो परिचित्र बनाने का केवल एक ही तरीका था, २५० अलग अलग फोटो लेकर उनको मिलाकर एक संग्रह चित्र बनाना!","['रास्ता', 'तरीका/तरफ']",तरीका/तरफ
way,You can do it in so many different ways.,आप इसको कई भिन्न तरीकों से बाँध सकते हैं।,"['रास्ता', 'तरीका/तरफ']",तरीका/तरफ
way,"There is a way that we can do this, a powerful combination of a deep and supporting attitude that when combined with consistent action can enable whole societies to take dedicated action in a sustained way towards a shared goal.","बल्कि ऐसा करने का एक तरीका है - अगर हम सब एकजुट होकर, सामंजस्य बैठा कर, सभी के सहयोग से इस लक्ष्य को पाने की कोशिश करे, तो हम अवश्य सफल होंगे।","['रास्ता', 'तरीका/तरफ']",तरीका/तरफ
way,There's just no way to make it economically feasible to keep it clear.,इसे साफ रखने का आर्थिक रूप से व्यवहार्य... ...कोई तरीका नहीं है.,"['रास्ता', 'तरीका/तरफ']",तरीका/तरफ
way,"Well, uh, we are on the 95, and were heading your way.","खैर, उह, हम 95 , पर कर रहे हैं और अपने रास्ते पर जा रहे थे.","['रास्ता', 'तरीका/तरफ']",रास्ता
way,I'm not in the way now.,मैं रास्ते में रुकावट नहीं हूँ.,"['रास्ता', 'तरीका/तरफ']",रास्ता
technology,"And anybody coming in new to technology is an adolescent online right now, and so it's very awkward, and it's very difficult for them to do those things.","इस समय जो कोई भी तकनीक के संपर्क में पहली बार आ रहा है, वह कोई ऑनलाइन किशोर ही है. इसलिए यह बहुत अजीब है, और उनके लिए यह सब करना बहुत कठिन होता है.","['प्रौद्योगिकी', 'तकनीक/तकनीकी']",तकनीक/तकनीकी
technology,"So we work with a lot of technology, but we don't really love technology, because it gives us a lot of pain in our work over years and years.","तो हमने बहुत सारी तकनीकियों के साथ काम किया, लेकिन वास्तव में हमे तकनिकी पसंद नहीं, क्युंकि इसने हमे हमारे परियोजनायों में सालो साल बहुत तकलीफे दी है |","['प्रौद्योगिकी', 'तकनीक/तकनीकी']",तकनीक/तकनीकी
technology,"I'd like to tell you a little bit about the challenges in building these, and some of the terrific opportunities for applying this technology.",मैं आपको इससे बनाने की चुनौतियों के बारे में थोड़ा बताना चाहते हूँ| और कुछ दिल दहलानेवाले सुयोग इस तकनीक को लागू करने के लिए|,"['प्रौद्योगिकी', 'तकनीक/तकनीकी']",तकनीक/तकनीकी
technology,"And the irony is, every now and again, I'm asked to visit those printing presses of this declining industry, because some people think that the technology I spoke about here, last time at TED, my interactive print, might actually help save them.","और मज़े की बात ये है, कि काफ़ी बार मुझे इस गिरते उद्योग के पत्रकारों के पास भेजा जाता है, क्योंकि कुछ लोगों को लगता है कि जिस इंटरैक्टिव प्रिंट तकनीक के बारे में मैंने पिछले बार TED में बात की थी, वह उनको बचा सकता है।","['प्रौद्योगिकी', 'तकनीक/तकनीकी']",तकनीक/तकनीकी
technology,But to be able to give them high-quality output you need to adapt technology to their needs.,लेकिन अच्छी क्वालिटी के उत्पाद बनाने के लिये आपको अपनी तकनीक को उनके अनुसार बदलना होगा ।,"['प्रौद्योगिकी', 'तकनीक/तकनीकी']",तकनीक/तकनीकी
technology,Using the same technology,उसी तकनीक का उपयोग करना,"['प्रौद्योगिकी', 'तकनीक/तकनीकी']",तकनीक/तकनीकी
technology,The third is because they don't know the benefits derived from technology.,तीसरा क्योंकि वे प्रौद्योगिकी से प्राप्त लाभ नहीं जानते हैं।,"['प्रौद्योगिकी', 'तकनीक/तकनीकी']",प्रौद्योगिकी
change,"So in the industrialized world, we built walls that protect us from the externalities of our energy use; we can afford to clean up acute environmental disasters; and we can also afford to adapt to chronic conditions like climate change.","तो औद्योगिक दुनिया में, हम दीवारें बनाते हैं जो ऊर्जा उपयोग के बाहरी हिस्सों से हमारी रक्षा करती हैं; हम तीव्र पर्यावरणीय आपदाओं को साफ कर सकते हैं; व हम जलवायु परिवर्तन जैसे पुराने हालात के अनुकूल होना भी बर्दाश्त कर सकते हैं।","['बदलाव', 'परिवर्तन']",परिवर्तन
change,"The dynamic signature of our thermal response gives away our changes in stress, how hard our brain is working, whether we're paying attention and engaged in the conversation we might be having and even whether we're experiencing a picture of fire as if it were real.","हमारी तापीय प्रतिक्रिया के गतिशील हस्ताक्षर तनाव में हमारे अंदर परिवर्तन लाते हैं, हमारा मस्तिष्क कितना कठिन काम कर रहा है, चाहे हम ध्यान दे रहे हों हम वार्तालाप में लगे हाे सकते हैं हम आग के तस्वीर को असली आग समझ रहे हैं,","['बदलाव', 'परिवर्तन']",परिवर्तन
change,Changes in our language associated with Alzheimer's can sometimes show up more than 10 years before clinical diagnosis.,हमारी भाषा में परिवर्तन अल्जाइमर से जुड़ा है कभी-कभी क्लीनिकल निदान से 10 साल पहले दिखा सकते हैं ।,"['बदलाव', 'परिवर्तन']",परिवर्तन
change,"Every day, we read about young people lending their ideas and passions to fighting for change, social change, political change, change in their communities.","हर दिन, हम युवा लोगों के बारे में पढ़ते है वे अपने विचार और भावनाएं देते है ताकि परिवर्तन के लिए लड़ सके, सामाजिक परिवर्तन, राजनीतिक परिवर्तन, उनके समुदायों में परिवर्तन ।","['बदलाव', 'परिवर्तन']",परिवर्तन
change,"So in essence, whatever consequence you think we're facing from climate change right now, we're only experiencing the consequence of 50 percent of our pollution, because the natural ecosystems are bailing us out.","तो संक्षेप में, जो भी परिणाम आपको लगता है कि हम सामना कर रहे हैं जलवायु परिवर्तन से अभी हम केवल परिणाम का अनुभव कर रहे हैं हमारे प्रदूषण का 50 प्रतिशत क्योंकि प्राकृतिक पारिस्थितिकी तंत्र हमें बाहर निकाल रहे हैं","['बदलाव', 'परिवर्तन']",परिवर्तन
change,"So we're talking about things like infill development: really sharp little changes to where we have buildings, where we're developing.","तो हम बातें करते हैं इनफिल विकास की: जोकि तेज़, छोटे बदलाव हैं इस तरह के कि हम कहाँ इमारतें बनाएं, कहाँ विकास करें.","['बदलाव', 'परिवर्तन']",बदलाव
change,"And weight loss from sustained lifestyle changes, or invasive treatments like bariatric surgery, can improve insulin resistance and decrease inflammation.",जीवन शैलीमे बदलाव भी जरुरी है| बरीअत्रिक`सर्जरी इन्सुलिन प्रतिरोध मी सुधार होता है,"['बदलाव', 'परिवर्तन']",बदलाव
change,"You know, it was hard, but sometimes you do hard things to make changes.","जानती हैं, वह मुश्किल था, पर कभी-कभार बदलाव लाने के लिए मुश्किल काम करने पड़ते हैं।","['बदलाव', 'परिवर्तन']",बदलाव
real,"So, not exactly what I was hoping for, but off I went -- up the stairs, down the hall, past the 'real' firefighters, who were pretty much done putting out the fire at this point, into the master bedroom to get a pair of shoes.","तो ये वैसा नहीं था जैसी मुझे आशा थी लेकिन मैं फ़िर भी गया -- ऊपर की तरफ, बरामदे में, असली अग्निशमन कर्मियों को पार करके, जिन्होंने अब आग पर काफी हद तक नियंत्रण कर लिया था, घर में मुख्य शयनकक्ष में जूते लाने के लिए|","['असल/असली', 'वास्तविक']",असल/असली
real,I said the real raven.,"मैंने कहा, असली रेवेन!","['असल/असली', 'वास्तविक']",असल/असली
real,"You know, he's got a real temper.","आप पता है, वह एक असली गुस्सा मिल गया है.","['असल/असली', 'वास्तविक']",असल/असली
real,It's not real.,यह असली नहीं है.,"['असल/असली', 'वास्तविक']",असल/असली
real,I'm here to introduce you to a real superstar.,मैं यहाँ आई हूँ एक असली सूपरस्टार से आपका परिचय करवाने के लिए।,"['असल/असली', 'वास्तविक']",असल/असली
real,"It seems to me that the real question, Mr. Wick...","ऐसा नहीं है कि असली सवाल, श्री विक मुझे लगता है ...","['असल/असली', 'वास्तविक']",असल/असली
business,"So meetings and managers are two major problems in businesses today, especially at offices.","सो मीटिंग्स और मेनेजेर्स २ बड़ी समस्याएं हैं व्यवसाय मैं आज, खासतौर से ऑफिसस को।","['व्यापार', 'व्यवसाय']",व्यवसाय
business,"I was greatly influenced by art, and I wanted to incorporate it in everything I did, even my business.","मैं कला से बहुत प्रभावित हुई और मैं चाहती थी ​​कि इस सब का उपयोग मैं हर चीज़ में करूँ, यहां तक ​​कि अपने व्यवसाय में उपयोग किया.","['व्यापार', 'व्यवसाय']",व्यवसाय
business,I was able to set reasonable expectations with my business partners about what I could do and the time frames that I could do it in.,व्यापार भागीदारों के साथ मैंने अपने काम करने की क्षमता एवं उसे पूर्ण करने की समय सीमा के उचित उम्मीदों को निर्धारित किया|,"['व्यापार', 'व्यवसाय']",व्यापार
business,I'll do business my way even if it takes me longer,मैं व्यापार से अपने तरीके से कर लेंगे तो भी यह मेरे लिए अब लगता है,"['व्यापार', 'व्यवसाय']",व्यापार
business,It's been only a week since you got out of jail..did you start a new business?,यह केवल एक सप्ताह हो गया है के बाद से आप की jail.. did आप एक नया व्यापार शुरू बाहर हो गया?,"['व्यापार', 'व्यवसाय']",व्यापार
business,"Meet Tony Walsh, the world's angriest small business owner.","टोनी वॉल्श से मिलें, विश्व का सबसे गुस्से वाला लघु व्यापार मालिक।","['व्यापार', 'व्यवसाय']",व्यापार
most,"But exactly four years after, the photos, most of them are still there.","पर ठीक चार साल बाद भी, वो तस्वीरें, अधिकतर अभी भी वहीं हैं.","['अधिकांश/अधिकतर', 'ज्यादातर']",अधिकांश/अधिकतर
most,"You may be imagining huge monsters lurking in the deep sea, but most of the animals are very small, like this lantern fish.","आप कल्पना कर सकते हैं गहरे समुद्र में गुप्त राक्षसों की, लेकिन अधिकांश जानवर बहुत छोटे होते हैं, इस लालटेन मछली की तरह।","['अधिकांश/अधिकतर', 'ज्यादातर']",अधिकांश/अधिकतर
most,"Way out in rural Liberia, where most girls have not had a chance to finish primary school, Musu had been persistent.","दूर कहीं ग्रामीण लाइबेरिया में, जहाँ अधिकतर लड़कियों को प्राथमिक स्कूल पूरा करने का मौका नहीं मिलता, मुसु में दृढ़निश्चय था।","['अधिकांश/अधिकतर', 'ज्यादातर']",अधिकांश/अधिकतर
most,"Working as part of our team, working as paraprofessionals, community health workers can help ensure that a lot of what your family doctor would do reaches the places that most family doctors could never go.","हमारी टीम की सदस्य के रूप में काम करते हुए, एक कार्यकर्ता के रूप में काम करते हुए, एक सामाजिक स्वास्थ्य कार्यकर्ता सुनिश्चित कर सकता है जो आपका पारिवारिक डॉक्टर करता है और उन जगहों तक पहुँच सकता है जहाँ अधिकतर पारिवारिक डॉक्टर कभी न जाएँ|","['अधिकांश/अधिकतर', 'ज्यादातर']",अधिकांश/अधिकतर
most,"And there are really two games in town, according to most people, with regard to postponing aging.","और प्रायः दो मत हैं, अधिकतर लॊगॊं के, उम्र के बढ्ने को टालने को लेकर.","['अधिकांश/अधिकतर', 'ज्यादातर']",अधिकांश/अधिकतर
most,Nobel Prize nominee Hernando De Soto recognized that the key to economic liftoff for most developing countries is to tap the vast amounts of uncapitalized land.,नोबेल पुरस्कार नामांकित व्यक्ति हेर्नान्दो दे सोतो मानते है कि आर्थिक उन्नति के लिए महत्वपूर्ण है अधिकांश विकासशील देशों के लिए विशाल मात्रा में अप्रयुक्त ज़मीन को इस्तमाल करना.,"['अधिकांश/अधिकतर', 'ज्यादातर']",अधिकांश/अधिकतर
most,"So most of them, they choose the train.","तो उनमें से ज्यादातर, ट्रेन चुनते हैं","['अधिकांश/अधिकतर', 'ज्यादातर']",ज्यादातर
hard,And maybe the hardest thing of all is to figure out that what other people think and feel isn't actually exactly like what we think and feel.,"और हो सकता है कि सबसे कठिन काम ये समझना हो कि जो दूसरे लोगों की सोच और अनुभव, उस से अलग है जो हम सोचते और महसूस करते हैं।","['कठिन', 'मुश्किल']",कठिन
hard,"And then the hard part is filling it in with musical ideas, because then you have to think.","और फिर कठिन हिस्सा, संगीत विचारों के साथ इसे भरने में है, क्योंकि तब आपको सोचना पङता है। (हंसी)","['कठिन', 'मुश्किल']",कठिन
hard,I tried a really hard one then.,फिर मैंने एक बहुत कठिन सवाल चुना.,"['कठिन', 'मुश्किल']",कठिन
hard,Dragon trapping is hard enough work as it is without do-gooder dragon riders... sneaking in to rescue them.,"ड्रैगन पकड़ना अपने में ही कठिन काम है, उस पर उन्हें बचाने के लिए चोरी-छिपे आने वाले... परोपकारी ड्रैगन-सवारों की मुसीबत।","['कठिन', 'मुश्किल']",कठिन
hard,Trying to measure the atmospheric composition of an exoplanet passing in front of its host star is hard.,सौर मंडल के बाहर के ग्रह के वातावरण का संघटन ज्ञात करना मुश्किल है जब वह अपने मेज़बान तारे के आगे से गुज़र रहा हो।,"['कठिन', 'मुश्किल']",मुश्किल
hard,"(Laughter) LC: When I heard this young lady speak before I came out -- she was so beautiful, and I wished I could be like that, and my husband, poor darling -- I lost him after we were married 70 years -- didn't agree on one thing, never did, nothing, but we got along together because he learned to understand me, and that was just hard, because he was so different.","(हंसी) लिया: मेरे मंच पर आने से पहले जब मैंने इस युवती को सुना... वह इतनी खूबसूरत थी, और मैंने सोचा काश मैं ऐसी होती, और मेरे पति, बेचारे... शादी के ७० सालों के बाद मैंने उन्हें खो दिया... एक बात पर सहमत नहीं होते थे, कभी नहीं हुए, किसी बात पर भी, पर हमारी अच्छी निभती थी क्योंकि वे मुझे समझना जान गए थे, और वह बहुत मुश्किल था, क्योंकि वह इतने अलग थे।","['कठिन', 'मुश्किल']",मुश्किल
environment,"Environment is very, very crucial.",पर्यावरण बहुत ही ज्यादा ज़रूरी है।,"['पर्यावरण', 'वातावरण']",पर्यावरण
environment,"The only way they're going to lift themselves out of energy poverty is by adapting fuels that are more efficient, that are less expensive, that are better for human health, better for the environment and that are more productive.","उनके लिए स्वयं को ऊर्जा गरीबी से बाहर निकालने का एकमात्र तरीका अधिक कुशल ऐसे ईंधन को अपनाना है, जो कम खर्चीले हैं, जो मानव स्वास्थ्य और पर्यावरण के लिए बेहतर हैं और जो अधिक उत्पादक हैं।","['पर्यावरण', 'वातावरण']",पर्यावरण
environment,"And then an idea began to take root, born from my concern for our environment.","और फिर एक विचार ने जड़ रूप लेना शुरू किया, जो हमारे पर्यावरण के लिए मेरी चिंता से उपजा","['पर्यावरण', 'वातावरण']",पर्यावरण
environment,"So if you read the literature, it is well known that human attention is drawn to novelty, things that are new in the environment.","इसलिए यदि आप साहित्य पढ़ते हैं, यह जाना जाता है कि मानव ध्यान नवीनता की ऑर आकर्षित होता है, जो चीजें पर्यावरण में नई हैं।","['पर्यावरण', 'वातावरण']",पर्यावरण
environment,"And I'm afraid, looking forward, we are in the age of pandemics, we have to behave like that, we need to practice One Health, we need to understand that we're living in the same world as animals, the environment, and us, and we get rid of this fiction that we are some kind of special species.","और मुझे डर है, आगे देखने पर, हम महामारी के युग में हैं, हमें ऐसा व्यवहार करना होगा, हमें एक स्वास्थ्य का अभ्यास करने की आवश्यकता है, हमें समझने की जरूरत है हम उसी दुनिया में रह रहे हैं जानवरों के रूप में, पर्यावरण, और हमें, और इस कल्पना से छुटकारा पाना है कि हम कुछ विशेष प्रकार की प्रजातियाँ हैं।","['पर्यावरण', 'वातावरण']",पर्यावरण
environment,"This is what's happening, and in fact, we're slowly moving, not away from genomics, but incorporating genomics into what we call multi-order, semi-autonomous, self-regulating systems, like cells, like organs, like environments.","यह क्या हो रहा है, और वास्तव में, हम धीरे-धीरे आगे बढ़ रहे हैं, जीनोमिक्स से दूर नही, बल्कि जीनोमिक्स को हम क्या कहते बहु-व्यवस्था, अर्द्ध स्वायत्त, आत्म विनियमन प्रणालियों,मेँ शामिल करते हुये जैसे कोशिकायेँ, जैसे जीवोँ, जैसे वातावरण|","['पर्यावरण', 'वातावरण']",वातावरण
environment,"If jobs is a solution, don't you think, then, that we should be simplifying the business environment of all of these countries?","अगर नौकरियाँ समाधान हैं, तो क्या इन सारे देशों का व्यवसायी वातावरण और सरल नहीं होना चाहिए?","['पर्यावरण', 'वातावरण']",वातावरण
environment,"It was a very dynamic environment, because particularly in those middle school years -- fifth through eighth grade -- keeping people engaged and setting the tone that everybody in the classroom needs to pay attention, nobody gets to make fun of it or have the position of the kid who doesn't want to be there.","बहुत ही गतिशील वातावरण था, क्योंकि विशेष रूप से माध्यमिक स्कूल के उन वर्षों में -- पांचवी से आठवीं तक -- लोगों को जोड़े रखने के लिए और एक लय बनाने के लिए ताकि कक्षा में सभी ध्यान दें, कोई भी इसका मज़ाक न बनाए या उस बच्चे का स्थान ले जिसका ध्यान कहीं और है।","['पर्यावरण', 'वातावरण']",वातावरण
environment,It fits into the environment. It is the environment.,यह वातावरण में फिट बैठता है. यह खुद वातावरण है.,"['पर्यावरण', 'वातावरण']",वातावरण
blood,"I wore a sanitary pad. I filled animal blood in a football bottle, I tied it up here, there is a tube going into my panties, while I'm walking, while I'm cycling, I made a press, doses of blood will go there.","तो मैने सैनेटरी पैद पहना. एक फुटबॉल बॉटल में जानवर का खून भर कर यहाँ बाँध दिया,.इससे निकलकर एक ट्युब मेरी चड्डी के अंदर जाती थी. चलते समय, साईकल चलाते समय, मैं उसको दबाता था, जिससे ट्युब से ख़ून निकलता था.","['खून', 'रक्त']",खून
blood,"When you eat healthier, manage stress, exercise and love more, your brain actually gets more blood flow and more oxygen.","जब आप स्वस्थ खाना खाते हैं, मानसिक दबाव को संभालते हैं और ज्यादा कसरत और प्यार करते हैं, तब आपके मस्तिष्क में ज्यादा खून और ऑक्सीजन जाती है।","['खून', 'रक्त']",खून
blood,And if we don't eat his flesh or drink his blood we won't inherit eternal life.,और अगर हम इसका मांस नहीं खाये या इसका खून नहीं पीये ... ... तो हमें अमरता नहीं हासिल होगी.,"['खून', 'रक्त']",खून
blood,They'll pay with their own blood.,वे अपने ही खून से कीमत चुकायेंगे.,"['खून', 'रक्त']",खून
blood,Anoint these with a drop of Hope's blood.,आशा के खून की एक बूंद के साथ इन अभिषेक।,"['खून', 'रक्त']",खून
blood,"They ended up sending seven units of red blood cells, four units of plasma and two units of platelets.","आखिर उन्होंने भेजीं लाल रक्त कोशिकाओं की सात इकाइयां, प्लाज्मा की चार इकाइयां और प्लेटलेट्स की दो इकाइयां।","['खून', 'रक्त']",रक्त
blood,It's the bind of soul and blood oath.,यह आत्मा और रक्त शपथ का बाँध है।,"['खून', 'रक्त']",रक्त
blood,If we forge a blade using the blood of the last living Labonair...,हम रक्त का उपयोग एक ब्लेड बनाने हैं अंतिम जीवित Labonair की ...,"['खून', 'रक्त']",रक्त
picture,And it turns out that pictures of brains have special properties.,और यह पता चला है कि दिमाग के चित्र में विशेष गुण है।,"['चित्र', 'तस्वीर']",चित्र
picture,Is this a beautiful picture or is it a terrible picture?,ये एक सुंदर चित्र है -- या फ़िर ये एक बेहद खराब चित्र है ?,"['चित्र', 'तस्वीर']",चित्र
picture,We take the pictures of those mini-Big Bangs inside detectors.,हम अनुवेदकों के अन्दर छोटे धमाकों की तस्वीर लेते हैं।,"['चित्र', 'तस्वीर']",तस्वीर
picture,"In other words, when we saw that picture on September 10th we knew the machine worked, which is a great triumph.","दूसरे शब्दों में, जब हमने 10 सितम्बर को वह तस्वीर देखी तो हम समझ गए कि मशीन काम कर गयी है, जो कि एक बहुत बड़ी जीत है।","['चित्र', 'तस्वीर']",तस्वीर
picture,Your picture on the wall?,दीवार पर तुम्हारी तस्वीर?,"['चित्र', 'तस्वीर']",तस्वीर
side,"They were blank on one side, and on the other side I listed some simple instructions.","बस इस तरह की। वे एक तरफ कोरे थे, और दूसरी तरफ मैंने कुछ सरल निर्देश सूचीबद्ध किए हैं।","['पक्ष', 'तरफ']",तरफ
side,"I could see pictures they were tagged in, posts they'd written, memes they'd shared, and somehow, seeing that it was a human on the other side of the screen made me feel a little better.","मैं उन चित्रों को देखता जिनमें वे टैग किए गए, वे पोस्ट जो उन्होंने लिखे थे, मिम्स जो उन्होंने साझा किये थे, और किसी भी तरह, यह देखना कि स्क्रीन के दूसरी तरफ एक इंसान था मुझे थोड़ा बेहतर महसूस कराता था।","['पक्ष', 'तरफ']",तरफ
side,"So imagine this: you call an Uber, it takes you to a nearby landing spot -- we call these vertiports -- there's an airplane waiting for you there, flies you over all of the traffic in the middle, and on the other side, another Uber takes you to your friend's house.","तो कल्पना कीजिए: आप उबर बुलाते हैं जो आपको पास के लैंडिंग स्पॉट पर ले जाती है-- इनको ऊर्ध्वमुखी हवाई अड्डे कहते हैं-- वहां हवाई जहाज आपका इंतज़ार कर रहा है, आपको यातायात के ऊपर से उड़ा ले जाता है, दूसरी तरफ खड़ी एक और उबर आपको मित्र के घर पहुंचा देती है","['पक्ष', 'तरफ']",तरफ
side,"And Doaa climbed onto the ring, her arms and her legs dangling by the side.","और डोआ उस चक्र पर चढ़ गयी, उसकी टांगें और बाहें दोनों तरफ लटक रही थीं।","['पक्ष', 'तरफ']",तरफ
side,"So let me invite you to consider taking the third side, even as a very small step.",तो मैं आप को आमंत्रित करता हूँ कि तीसरे पक्ष की भूमिका निभाने को एक छोटी शुरुवात के रूप में देखें।,"['पक्ष', 'तरफ']",पक्ष
side,That's a third-side act.,यही तीसरे पक्ष का कार्य है।,"['पक्ष', 'तरफ']",पक्ष
side,- Take her side?,- उसका पक्ष ले लो?,"['पक्ष', 'तरफ']",पक्ष
side,God takes sides.,भगवान पक्षों लेता है।,"['पक्ष', 'तरफ']",पक्ष
bear,"My boys now are three years and five months old today, and they were already born with three nationalities and four languages.","अब मेरे बच्चे ३ साल और ५ महीने के हुए हैं आज, और जन्म से उनकी ३ राष्टीयतायें हैं और ४ भाषायें|","['जन्म', 'पैदा']",जन्म
bear,"You see, in patriarchal societies, right from the very beginning, when a girl is born, her birth is not celebrated.","जैसा कि आप देखते हैं, पुरुष प्रधान समाजों में, शुरू से ही, जब एक लड़की जन्म लेती है, उसका जन्म मनाया नहीं जाता |","['जन्म', 'पैदा']",जन्म
bear,(Clapping) The Juba dance was born from enslaved Africans' experience on the plantation.,जुबा नृत्य का जन्म हुआ था गुलाम अफ्रीकियों के बागानों के अनुभव से|,"['जन्म', 'पैदा']",जन्म
bear,"What if our future is not dead, but still waiting to be born?","अगर हमारा भविष्य मृत ना हो, बल्कि जन्म लेने के इंतज़ार में हो?","['जन्म', 'पैदा']",जन्म
bear,He came back from the war wounded... and died six months before I was born.,वे वापस आ गये युद्ध से घायल हो कर ... ... और मेरे जन्म के छह महीने पहले उनकी मृत्यु हो गई.,"['जन्म', 'पैदा']",जन्म
bear,"Tell her she was born as you were, as your mothers before, and the sisters beside them, in the age of legends, like always.","वह भी आप की तरह ही पैदा हुई जैसे आप की माँ और उनके साथ आपकी बहनें बहादुरों के समय, हमेशा की तरह","['जन्म', 'पैदा']",पैदा
bear,"He will marry her in the spring, during Dionysus' Festival and when her first son is born her sweet uncle Attalus will convince Philip to name the boy his successor with himself as regent.","वह Dionysus 'महोत्सव के दौरान , वसंत में उससे शादी करेगा... ... और जब उसका पहला बेटा पैदा हुआ है... ... उसे मिठाई चाचा Attalus लड़का अपने उत्तराधिकारी के नाम के लिए फिलिप मना लेंगे...","['जन्म', 'पैदा']",पैदा
bear,And I saw my kids being born.,और मैं अपने बच्चों को पैदा किया जा रहा देखा.,"['जन्म', 'पैदा']",पैदा
bear,I wish you'd never been born!,काश तुम कभी पैदा ही न हुए होते!,"['जन्म', 'पैदा']",पैदा
line,"And there, along this line, was this thing, this glorious, bewildering thing.","और फिर, इसी रेखा के पास, यह चीज़ थी, यह शानदार, विस्मयकारी चीज़।","['लाइन', 'रेखा']",रेखा
line,"And finally, at the end of the journey, I could see this thin little yellow line across the horizon.",और अंततः हमारी यात्रा खत्म हुई मुझे दूर क्षितिज पर एक पतली पीली रेखा दिख रही थी।,"['लाइन', 'रेखा']",रेखा
line,"So we lay epinephrine flat on a page, and then we replace all the spheres with simple letters, and then the bonds that lie in the plane of the page, they just become regular lines, and the bonds that point forwards and backwards, they become little triangles, either solid or dashed to indicate depth.","एपिनेफ्रीन को कागज पर सीधा रखते हैं, गाेलाें के स्थान पर अक्षर लगा देते हैं, फिर बॉन्ड जो पृष्ठ की सतह पर हैं, वे बस लाइन बन जाते हैं, बांड जो आगे और पीछे इंगित करते हैं, छोटे त्रिकोण बन जाते हैं, गहराई दिखाने के लिए ठोस या डैश.","['लाइन', 'रेखा']",लाइन
